label,Imperial London (2),Oxford (4),ETH Zurich (7),Technical Munich (22),Trinity Dublin (75),Utrecht University (103),Dublin (118),Stockholm University (147),Northampton (1201-1400),Split (1201-1400),Hong Kong (32),Nanyang Technological  (12),Hong Kong Polytechnic  (57),Seoul National Univers (38),Universiti Malaya (58),Nazarbayev University (201),Anna University (465),Ben-Gurion the Negev (469),Anadolu University (1401+),Atma Jaya Catholic Uni (1401+),Auckland (65),Queensland (42),Otago (197),Deakin University (207),Newcastle (227),La Trobe University (233),Canterbury (261),Waikato (281),Tasmania (314),Murdoch University (423),Stanford University (3),Harvard University (5),Michigan (45),Kansas (465),Texas Tech University (731-740),MIT (1),Princeton University (24),Toronto (29),Cape Town (150),Witwatersrand (291),Auburn University (851-900),Miami University (1201-1400)
Auckland (65),0.3264621480682659,0.34385415540962444,0.283479830177043,0.2231780765966463,0.323784682414402,0.3174392921607811,0.3408496555801106,0.2581120921655919,0.3319159814595275,0.2508381223372237,0.0773884274262007,0.2865664452358246,0.14574412005714238,0.20110699316804276,0.16062852160880664,0.28954026674328787,0.18481218383608175,0.23572466813743165,0.186166169343389,0.1525558633320055,0.9999999999999993,0.41238417741490585,0.4722803124150777,0.3668475780043607,0.3859209804858001,0.33615036355365613,0.3144690639566111,0.3833518447112529,0.3509082366570955,0.24684316953464489,0.12275709697178959,0.11833488336154621,0.043098901206481716,0.051211650112963344,0.0702726946754315,0.07421210097198556,0.11976073278256334,0.072418469320675,0.09419951845469135,0.07675783407726791,0.12533251599319975,0.15822290804718506
Queensland (42),0.3486102043336898,0.3580366592274046,0.3344573092915924,0.2601414428675002,0.3533674052171086,0.3168103972603425,0.37231516171673024,0.2632631387915838,0.3545491810390162,0.2689024237303308,0.06685658065423021,0.303599397425748,0.14891452176036837,0.20487923428371121,0.16749396689970078,0.32790925452787595,0.1890402863764571,0.245318993515747,0.1947884506597009,0.1630035176911274,0.41238417741490585,1.0000000000000009,0.38935508158920473,0.4596773866773609,0.4448195392831576,0.4216280576391153,0.24621594371849825,0.3043780591846917,0.3836300094219211,0.23714699965317207,0.13610049955289222,0.12068638597338179,0.05180771813874629,0.061225191677571296,0.08027658256307918,0.07051548526682692,0.12533166709762827,0.08903932573977831,0.08582887278737573,0.09333498997363877,0.1346131658123345,0.16847561879190528
Otago (197),0.2917908218977682,0.3598150211904518,0.31450047080139104,0.22278576697921335,0.3175285975294637,0.3009778909655353,0.3091740185125295,0.25881428033051357,0.3491116327948512,0.2898750346532174,0.10330307808219716,0.2544635863926853,0.14871331788922235,0.13672757326753862,0.13747694178729278,0.35143575066012184,0.21966492028910967,0.30685957425168575,0.22615360734385415,0.17499525102633062,0.4722803124150777,0.38935508158920473,0.9999999999999994,0.33061636637988473,0.37757436933279914,0.321800568438883,0.28740970500554464,0.41074477538178106,0.3982927651789212,0.19750890670665128,0.10540862579293292,0.1616260576070977,0.05478061091126182,0.06888046828681492,0.1052935650943729,0.09123665055311121,0.10133901370856557,0.13082839889793865,0.12360961583677503,0.0737644190038701,0.14663182321996174,0.16147299183834177
Deakin University (207),0.31941067061134043,0.32899817218393995,0.29710124522293807,0.232655183681254,0.3126018653798915,0.306939607779503,0.34874121534733254,0.23289115338259206,0.3471508547920877,0.23092044097814599,0.06229274644749963,0.3073069760366963,0.14376844264430597,0.1686076723187987,0.15040629901035277,0.2768407168349938,0.18230646201984546,0.21671613047181115,0.18606583340120492,0.1470556498111548,0.3668475780043607,0.4596773866773609,0.33061636637988473,0.9999999999999994,0.4119754119993337,0.40734351418117465,0.22531797550356578,0.27095325548882937,0.3784820104704339,0.2764138427085954,0.12596680254554718,0.13119754121018132,0.05714478224636143,0.053195592801013075,0.07414176632034998,0.09457146906232396,0.12052241417635762,0.08113351690781694,0.08872379418940808,0.0716028880204706,0.12721703480766386,0.1351620756515531
Newcastle (227),0.36978278440320533,0.32681952181899065,0.34542470046803153,0.24896443113876474,0.3581700843753618,0.338197372559797,0.3660710133373019,0.25174977247506436,0.36202928195385414,0.2848626035893266,0.07925324054580708,0.31745011282286295,0.17643577602836932,0.1882382385801425,0.20004277355606467,0.3424479117556707,0.22436810248459094,0.2722915246053509,0.21956917109296945,0.1706687230158317,0.3859209804858001,0.4448195392831576,0.37757436933279914,0.4119754119993337,1.0000000000000009,0.4324956817399903,0.25437360049686836,0.3103985234721118,0.4391270712035384,0.2357217199623825,0.15100153107744113,0.1441685420677256,0.06324900778894148,0.07262286635017029,0.10340316395121416,0.12046394374047509,0.1445908203886221,0.09510928296603492,0.11285691882882831,0.07849017730168979,0.14223730679844682,0.17835950925892502
La Trobe University (233),0.36737874595658687,0.3322115419521876,0.3028286345050065,0.2691810413277904,0.3262575994867501,0.2930918091680111,0.3397679633081011,0.22398007052706542,0.3335509398808808,0.2503722168988648,0.06359084646937314,0.2967986482197762,0.17817551782196064,0.16886416563775433,0.16294367232139198,0.3133402576087935,0.1956701231055978,0.23295979888202462,0.1821104328645296,0.15897503526267687,0.33615036355365613,0.4216280576391153,0.321800568438883,0.40734351418117465,0.4324956817399903,1.0000000000000009,0.23386055364793076,0.27195040941486337,0.4125795948469309,0.2172212934097791,0.15401702366602502,0.11787632404611956,0.05957061244055696,0.06103480317473978,0.09021137796267162,0.11216174180751012,0.16528528806528184,0.08023235963508625,0.10664136317813777,0.1230459670130375,0.1194377649393533,0.15656152025110098
Canterbury (261),0.1902250154462444,0.23944364278656807,0.19735001656194584,0.18252175909810847,0.23538208307769878,0.23871950243049417,0.22887379638100583,0.18800726654428004,0.24430054971504414,0.17324316629569633,0.038713277500859275,0.1946221981695752,0.13526030589098473,0.14453939385823086,0.14131533617083575,0.19685903929223716,0.13693266992775996,0.16666000339042727,0.13730156793509052,0.09238717194828566,0.3144690639566111,0.24621594371849825,0.28740970500554464,0.22531797550356578,0.25437360049686836,0.23386055364793076,1.000000000000002,0.22893686664928548,0.212459637454921,0.16918223536394392,0.11436096800138135,0.0828182036221631,0.029521760304749806,0.04904183636466401,0.07531735748250086,0.06389290044051354,0.07475418844670795,0.05128034073453748,0.0904362447739968,0.053443349666811496,0.09711526026640385,0.09743313942302417
Waikato (281),0.22855098990322692,0.30838657994285634,0.23457112333250132,0.18693338628220824,0.249893550373691,0.23876426094508116,0.2523375124778903,0.23081394324451898,0.26640080689618173,0.246229901648836,0.07799294091215724,0.21639952512330046,0.11721144341507173,0.13604552778300377,0.12706897780119544,0.274199644046363,0.16520308183358925,0.2218751261784305,0.17785659195144654,0.15989804970626778,0.3833518447112529,0.3043780591846917,0.41074477538178106,0.27095325548882937,0.3103985234721118,0.27195040941486337,0.22893686664928548,1.0000000000000004,0.27316996396018195,0.1900495381524945,0.10148039972816138,0.10280964150418206,0.058269809957480934,0.046955843008240065,0.07797989745686021,0.06636713212531317,0.08470662314395178,0.08251813092214019,0.1064159769389115,0.055722299017378844,0.10591759595465278,0.12315655818047395
Tasmania (314),0.35373822101078567,0.31696970176512285,0.37190852197125235,0.283705989424352,0.33652129125018293,0.36245317813914457,0.32599652135045165,0.3224907894613862,0.34369812130836014,0.3236046601713353,0.11126168634911732,0.2927433594572203,0.15882832380832176,0.15392560226684554,0.16583021972261988,0.40750613774856026,0.23369085431011574,0.3266810635178531,0.26344153539900783,0.21275206639712008,0.3509082366570955,0.3836300094219211,0.3982927651789212,0.3784820104704339,0.4391270712035384,0.4125795948469309,0.212459637454921,0.27316996396018195,0.9999999999999984,0.2008080405754549,0.1772523517812098,0.20164663777358133,0.08017376504282092,0.08968043426906228,0.12289957371749707,0.1721030889180736,0.1710835422911549,0.14678712360584548,0.12931190346096522,0.08474885851865996,0.1539511909393376,0.16876127953408518
Murdoch University (423),0.16488100446355922,0.1955950639359603,0.1521262505820429,0.12978732484426542,0.21689482843071112,0.21124869569489016,0.2000889007840715,0.15137575654475244,0.25375327998066993,0.14426995566305437,0.04544048886809424,0.16712520502451544,0.10517120520764282,0.10441991510068635,0.17280912997399925,0.14767047715992546,0.10511440133709231,0.1344388853401335,0.10082863322018373,0.0995774352345947,0.24684316953464489,0.23714699965317207,0.19750890670665128,0.2764138427085954,0.2357217199623825,0.2172212934097791,0.16918223536394392,0.1900495381524945,0.2008080405754549,0.9999999999999999,0.08145249045433708,0.06460222414629008,0.02471003821118659,0.02849730440589838,0.042058755157121444,0.05923731573393581,0.08077148174492065,0.03576680666472608,0.04317258086891517,0.035347678081637204,0.06782802076074503,0.08183161141357184
